datetime,total_eur,positions_json
2026-01-24T21:35:19,26.13,"{""EUR"": {""amount"": 0.04, ""eur"": 0.04}, ""FTT"": {""amount"": 0.02491392, ""eur"": 0.009672}, ""DOT"": {""amount"": 0.01341183, ""eur"": 0.021786}, ""SHIB"": {""amount"": 1409.35, ""eur"": 0.009326}, ""RENDER"": {""amount"": 0.03917965, ""eur"": 0.066276}, ""DOGE"": {""amount"": 0.44976973, ""eur"": 0.047257}, ""ATOM"": {""amount"": 0.000751, ""eur"": 0.001471}, ""BTC"": {""amount"": 5.9e-07, ""eur"": 0.044559}, ""SOL"": {""amount"": 0.00038859, ""eur"": 0.041832}, ""ADX"": {""amount"": 0.34133374, ""eur"": 0.026829}, ""ETC"": {""amount"": 2.62122922, ""eur"": 25.729986}, ""BNB"": {""amount"": 4.36e-06, ""eur"": 0.003272}, ""ETH"": {""amount"": 1.03e-05, ""eur"": 0.025739}, ""LINK"": {""amount"": 8.573e-05, ""eur"": 0.000884}, ""ADA"": {""amount"": 0.188544, ""eur"": 0.05724}, ""STORJ"": {""amount"": 0.00942759, ""eur"": 0.001034}}"
2026-01-24T22:22:28,26.13,"{""EUR"": {""amount"": ""0.04"", ""eur"": ""0.04""}, ""FTT"": {""amount"": ""0.02491392"", ""eur"": ""0.0096720820224""}, ""DOT"": {""amount"": ""0.01341183"", ""eur"": ""0.021731188149""}, ""SHIB"": {""amount"": ""1409.35"", ""eur"": ""0.009331870090""}, ""RENDER"": {""amount"": ""0.03917965"", ""eur"": ""0.066190100710""}, ""DOGE"": {""amount"": ""0.44976973"", ""eur"": ""0.0471943377689""}, ""ATOM"": {""amount"": ""0.000751"", ""eur"": ""0.0014757901""}, ""BTC"": {""amount"": ""5.9E-7"", ""eur"": ""0.04451845""}, ""SOL"": {""amount"": ""0.00038859"", ""eur"": ""0.0417928545""}, ""ADX"": {""amount"": ""0.34133374"", ""eur"": ""0.026828831964""}, ""ETC"": {""amount"": ""2.62122922"", ""eur"": ""25.72998602352""}, ""BNB"": {""amount"": ""0.00000436"", ""eur"": ""0.0032697820""}, ""ETH"": {""amount"": ""0.0000103"", ""eur"": ""0.02569129""}, ""LINK"": {""amount"": ""0.00008573"", ""eur"": ""0.00088507652""}, ""ADA"": {""amount"": ""0.188544"", ""eur"": ""0.05713637376""}, ""STORJ"": {""amount"": ""0.00942759"", ""eur"": ""0.0010239305499""}}"
